tree_depth	nrounds	eta	gamma	subsample	rate_drop	skip_drop	iter	train_rmse_mean	train_rmse_std	test_rmse_mean	test_rmse_std	best_iter
9	1789	0.06513917118117624	5.636566631994432e-7	0.714671359420754	0.9046288174577056	0.21962729981169105	399	0.11974850353874696	0.00669460245331892	0.2656340832753895	0.01291595541047072	399
13	1579	0.02136709432888039	0.00327609677377253	0.6699638404417783	0.7849358960520476	0.9804870001971722	208	0.12227764028829004	0.00139890398579641	0.265933349417817	0.01231216796062193	208
11	885	0.02019208142444202	4.192387561007441e-6	0.8507308580912649	0.6789835318922997	0.5549980255309492	354	0.11687272656027638	0.00444292927703865	0.26613824114016676	0.01217070427987864	354
14	1573	0.00330038022680413	5.3350671902970695e-8	0.4593169944593683	0.661327107809484	0.7847683380823582	1567	0.16108421603030132	0.0012386718129429	0.2665889310689989	0.01244066547582458	1567
12	1443	0.04349408208667205	1.7268229103979316e-5	0.38094875251408666	0.11070545972324908	0.8645050679333508	215	0.1289096595012212	0.00204563272970892	0.2667593461571206	0.01343556054706681	215
9	1897	0.08206387291702984	1.21806620550173e-8	0.9656128715490924	0.13390392693690956	0.6064835384022444	122	0.120601	0.004983	0.267144	0.013252	72
4	543	0.08375787881749094	9.831952572368029e-8	0.565049155196175	0.45134100201539695	0.7089421930722892	310	0.15344333798056894	0.00384651125615089	0.26922782240627474	0.01211412021008719	310
14	1927	0.00909177549488994	1.2649367449523503e-6	0.32406107387505473	0.4842216589022428	0.19289236469194293	1927	0.198349	0.003192	0.269459	0.012812	1927
9	1727	0.06072601397698926	9.610278157244588e-4	0.5773090097820387	0.3764161798171699	0.01426408300176262	1727	0.198146	0.005727	0.272457	0.010218	1727
11	1568	0.08240627142602691	6.5099883830741305	0.829952919553034	0.25889520440250635	0.3495316579937935	326	0.2139800194318477	5.837365005382617e-4	0.27387154551731374	0.01277191903065885	326
14	421	0.00608372873964777	0.14829757238676755	0.789880080264993	0.43601293140091	0.77833551075309515	421	0.17757255424699403	0.00384318913687287	0.274280425899548	0.01043540214014603	421
5	1779	0.00211751432208548	0.06737510839349191	0.4014582796720788	0.6791851790621877	0.8170909532345831	1779	0.2426999917551497	0.0028185032020183	0.27626243811409756	0.0124780090623518	1779
6	1805	0.00275662973582645	7.02791770578764e-5	0.113162231631577	0.122957767220214	0.7881762967444956	1805	0.2511762398440531	0.00302694081391022	0.27744283118480423	0.01290004171056698	1805
5	197	0.02811843918667802	4.977419282532597e-9	0.7943152754800394	0.04574514948762953	0.25206154165789485	197	0.23827568346960024	0.00418929572629912	0.27800608038805136	0.01182646937548767	197
8	227	0.084471327976335	5.978274619678149	0.7618543848628179	0.2145315792877227	0.06178272608667612	227	0.24276386162953936	0.00204778090952762	0.2784696430094006	0.01214390867196134	227
2	1038	0.06860957057129802	1.9021454511651424e-8	0.6415051285875961	0.3616200545802712	0.12269027018919589	1037	0.26207454070347563	0.00250801426685487	0.28024502814624946	0.01402747764345884	1037
2	1329	0.06675487795836343	8.052718448505154	0.37555681166704746	0.4680733594577759	0.16499860305339098	997	0.26822449304944446	0.00221614564922259	0.28153350558772755	0.01371925315915426	997
3	393	0.07496635111577395	0.1428976250585322	0.17847912760917098	0.9860373951960356	0.09741603746078908	392	0.27276545956223563	0.00271982812379726	0.2835744184979531	0.01254871110564447	392
15	1396	0.00284343900013801	3.7988187575453894e-6	0.6120055419392884	0.08979506441392004	0.36299705668352544	1396	0.22200970569627415	0.0032310760507966	0.2858054237159747	0.01011765160994532	1396
1	746	0.00951007109361841	3.634470258051429e-4	0.2112318830098957	0.09056235197931528	0.5954613254871219	746	0.29374610380441796	0.00271755822119463	0.29656747859726174	0.01289537849175011	746
1	1044	0.03619517764556652	2.2987197078223477e-5	0.9175507072592154	0.8538183246273547	0.08990021981298923	1042	0.30098642606990045	0.00374170565819729	0.3039691027431965	0.01183436207862002	1042
8	1059	0.00115652232675801	0.01757985028943343	0.6306344967102632	0.2596381073817611	0.8776896605268121	1059	0.2758133399188068	0.00206584046544749	0.3104418763196846	0.00761549595205658	1059
11	1105	0.01351019035796034	27.76000001834828	0.10381827247329056	0.917339275125414	0.4996714214794338	1105	0.3107885400873977	0.00232416004854562	0.31174838054087567	0.0135229575618419	1105
