cluster_id	cluster_size	gene_ratio	HPO_ratio	num_sig_go_enrichment_terms	sig_go_enrichment_p_vals	sig_go_enrichment_fdr_corrected_p_vals	sig_go_enrichment_terms	go_sig_threshold	max_norm_cell_type_specificity	max_norm_cell_type_comma_sep_string	num_of_diseases	max_norm_disease_specificity	max_norm_disease_comma_sep_string	mg2_pairs_count	mg2_not_pairs_count	mg2_portion_families_recovered	avg_embeddedness	avg_internal_degree	conductance	cut_ratio	normalized_cut	expansion	triangle_participation_ratio	surprise	significance	newman_girvan_modularity	internal_edge_density	edges_inside	hub_dominance	max_plof	mean_plof	median_plof	std_plof	sum_plof
142	10	0.1	0.9	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.5652813852813853	1.8	0.6538461538461539	9.416978257859023e-05	0.6538488958753974	3.4	0.0	18.84443043527294	112.00379576702966	7.258146198531095e-07	0.2	9.0	0.6666666666666666	0	0.0	0.0	-1.0	0
153	5	0.2	0.8	0				0.05	0.0		1	0.0	No Associated Disease	0	0	0	0.353030303030303	1.6	0.7647058823529411	0.00014400443090556631	0.7647079791984951	5.2	0.0	11.052819828498134	53.057393360095745	1.6128852724495212e-07	0.4	4.0	0.5	0	0.0	0.0	-1.0	0
174	4	0.25	0.75	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.29305555555555557	1.5	0.7272727272727273	0.00011076957159868185	0.7272740176400545	4.0	0.0	8.944784815716961	40.68174895539326	1.6129289800258e-07	0.5	3.0	0.6666666666666666	0	0.0	0.0	-1.0	0
193	16	0.1875	0.8125	0				0.05	0.6666666666666666	Ciliated cells	3	0.3333333333333333	Ciliopathy,Heterotaxy	0	0	0	0.4273045328447931	2.0	0.7398373983739838	0.0001575528407989141	0.7398447373091559	5.6875	0.0	27.394054825051033	192.02912986082262	4.837897373826263e-07	0.13333333333333333	16.0	0.3333333333333333	0	0.0	0.0	0.0	0
194	13	0.07692307692307693	0.9230769230769231	0				0.05	1.0	Cytotrophoblasts,monocytes,Pancreatic endocrine cells,Syncytiotrophoblasts	0	0.0	No Associated Disease	0	0	0	0.6163660076703555	2.0	0.74	0.00015767291818480117	0.7400059679305991	5.6923076923076925	0.0	24.97314704851968	159.16564798448513	1.2903033268737e-06	0.16666666666666666	13.0	0.4166666666666667	0	0.0	0.0	-1.0	0
241	7	0.14285714285714285	0.8571428571428571	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.1855406498263641	1.7142857142857142	0.8666666666666667	0.0003085980154773774	0.8666729571789773	11.142857142857142	0.0	14.617439135309645	77.11760562054522	1.6124336274946415e-07	0.2857142857142857	6.0	0.6666666666666666	0	0.0	0.0	-1.0	0
273	12	0.08333333333333333	0.9166666666666666	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.2748774509803921	2.3333333333333335	0.8082191780821918	0.00027236887054630734	0.808228694479832	9.833333333333334	0.4166666666666667	30.099302696360972	175.1505581131209	6.450455424823019e-07	0.21212121212121213	14.0	0.7272727272727273	0	0.0	0.0	-1.0	0
390	27	0.037037037037037035	0.9629629629629629	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.4248018099869951	2.2962962962962963	0.7448559670781894	0.00018575991198469585	0.7448705642302608	6.703703703703703	0.1111111111111111	41.433810865134305	358.53364851945264	2.1771125600335985e-06	0.08831908831908832	31.0	0.3076923076923077	0	0.0	0.0	-1.0	0
453	4	0.25	0.75	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.11771514161220044	1.5	0.9117647058823529	0.0004292320899448921	0.9117697060371964	15.5	0.0	8.944784815716961	40.68174895539326	-3.0074975106047355e-11	0.5	3.0	0.6666666666666666	0	0.0	0.0	-1.0	0
507	18	0.1111111111111111	0.8888888888888888	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.24072378239044903	2.6666666666666665	0.8040816326530612	0.0003031954025111351	0.8040975201226784	10.944444444444445	0.0	44.7348620847539	292.25718030016776	4.028497061524573e-07	0.1568627450980392	24.0	0.5882352941176471	0	0.0	0.0	0.0	0
