cluster_id	cluster_size	gene_ratio	HPO_ratio	num_sig_go_enrichment_terms	sig_go_enrichment_p_vals	sig_go_enrichment_fdr_corrected_p_vals	sig_go_enrichment_terms	go_sig_threshold	max_norm_cell_type_specificity	max_norm_cell_type_comma_sep_string	num_of_diseases	max_norm_disease_specificity	max_norm_disease_comma_sep_string	mg2_pairs_count	mg2_not_pairs_count	mg2_portion_families_recovered	avg_embeddedness	avg_internal_degree	conductance	cut_ratio	normalized_cut	expansion	triangle_participation_ratio	surprise	significance	newman_girvan_modularity	internal_edge_density	edges_inside	hub_dominance	max_plof	mean_plof	median_plof	std_plof	sum_plof	snowballing_pvalue	num_new_edges_on_any_node
379	49	0.8163265306122449	0.1836734693877551	102	9.370262819628161e-16,1.6428249818487898e-14,1.0226669499570406e-13,5.273376709485618e-13,7.883626013640798e-13,7.883626013640798e-13,1.3596652387644085e-12,4.832494319149823e-12,5.004243078335033e-11,7.245093539344312e-11,7.785308875366816e-11,1.9688479595691244e-09,3.5303229118172614e-09,5.0466570221949965e-09,1.4749098970091226e-08,2.819078592058233e-08,7.037635647198266e-08,9.958517890302967e-08,1.424380011869905e-07,2.7772233091905146e-07,4.123801372445688e-07,5.36678929794447e-07,6.022996856022503e-07,6.050613933754637e-07,7.030489343078502e-07,7.159643091947423e-07,8.12232032434275e-07,8.168659019683555e-07,1.0016096971522656e-06,1.0016096971522656e-06,1.1463707780893264e-06,1.1922656534540014e-06,1.415029433586859e-06,1.6429762576420236e-06,2.107031186778019e-06,2.403036752518796e-06,2.5598583622537048e-06,3.2198233727818886e-06,4.37816408912238e-06,4.937233163555113e-06,5.618294646834376e-06,5.942562754195297e-06,6.004694999605864e-06,6.00811442251607e-06,7.82756615880976e-06,7.982820708306732e-06,9.377908804171556e-06,1.208680729544715e-05,1.371569989772608e-05,1.4170163819829407e-05,1.568959978244073e-05,1.6553363745016172e-05,1.6553363745016172e-05,1.769019724633438e-05,1.8812629218139535e-05,1.9987188270552757e-05,2.1202477997222513e-05,2.2873394022942006e-05,2.295251215027093e-05,2.4156860007270307e-05,2.4955231892016562e-05,2.5653652014045487e-05,2.6637584449462956e-05,2.951333765482452e-05,3.318161520061518e-05,3.510593737701723e-05,4.461853200846783e-05,4.775447111599084e-05,5.019348651180579e-05,5.0278476092939854e-05,5.347858619240721e-05,5.738539270381738e-05,6.235816976270253e-05,6.683154631564323e-05,7.813347165089402e-05,8.32577789811942e-05,8.36475942112316e-05,9.52393140945436e-05,9.715547938501476e-05,0.0001001238797187752,0.00010132063313970715,0.00010345404950513006,0.00011006219178336376,0.0001125666295442304,0.00011638613936269942,0.00011646506481477231,0.00011646506481477231,0.00013197160141679553,0.0001403068903939908,0.00015133161389046187,0.00016280757311431344,0.00016280757311431344,0.00016376838721599227,0.0001774984763083033,0.00018368884018379796,0.00018368884018379796,0.00018891411492615498,0.00020407836254972953,0.00020511878061694512,0.0002341010585329417,0.00027634112227874235,0.00027944214209306683	1.469350912745892e-11,1.2880569270185436e-10,5.345480147425451e-10,2.0603856586650226e-09,2.0603856586650226e-09,2.0603856586650226e-09,3.045844372723527e-09,9.472292927323547e-09,8.71905952348574e-08,1.1098311679511548e-07,1.1098311679511548e-07,2.5727920711669535e-06,4.258384121554344e-06,5.652616340359982e-06,1.5418708063333365e-05,2.7628732126290718e-05,6.491597916689176e-05,8.675528835435602e-05,0.00011755633140069462,0.0002177481935570823,0.0003079301396253373,0.0003825301044593965,0.0003953319878966936,0.0003953319878966936,0.0004318090897108752,0.0004318090897108752,0.0004574740788844923,0.0004574740788844923,0.0005235413887014892,0.0005235413887014892,0.0005798787152006041,0.0005842474284941311,0.000672396259032592,0.0007577503145907227,0.0009440101725676032,0.0010467227587846455,0.001084895648067577,0.0013286855344366525,0.001760358745680206,0.0019355188309426933,0.002141210051351693,0.002141210051351693,0.002141210051351693,0.002141210051351693,0.002721274163629519,0.002721274163629519,0.003128829531025833,0.0039486088583313905,0.004389303879515157,0.004444046777174898,0.0048240904742833934,0.004897609375199974,0.004897609375199974,0.005137036722588322,0.005363651613993565,0.005596769629831032,0.0058329132890253725,0.0061003108987864145,0.0061003108987864145,0.006313395362900095,0.006415131004896914,0.006488305116649149,0.006630221615111565,0.0072312288713328645,0.008004937045551486,0.00834085157589405,0.01044273433469827,0.011012321493674298,0.011263096908762711,0.011263096908762711,0.011811235353283624,0.012498060319285562,0.01339504739793066,0.01416196591588651,0.016336146252768923,0.0170347782444977,0.0170347782444977,0.019146765183545363,0.019284747749828055,0.01961492405263886,0.01961492405263886,0.01978369451573103,0.020793797944035266,0.020991823923683272,0.020991823923683272,0.020991823923683272,0.020991823923683272,0.023516439566099667,0.02472081290188955,0.02636701152684814,0.027613463225096502,0.027613463225096502,0.027613463225096502,0.029610144755218126,0.030004423988772247,0.030004423988772247,0.03053981686759831,0.03248957170559916,0.03248957170559916,0.036709386988550585,0.042904011271811475,0.04296011990354295	GO:0006665,GO:0006643,GO:0006629,GO:0001573,GO:0007040,GO:0080171,GO:0006687,GO:0007033,GO:0006672,GO:0006664,GO:1903509,GO:0007042,GO:0044255,GO:0035751,GO:0007035,GO:0009056,GO:0010876,GO:0051452,GO:0050885,GO:1901565,GO:0007610,GO:0044248,GO:0043603,GO:0009057,GO:0070085,GO:1901135,GO:1901575,GO:0030149,GO:0006689,GO:0046836,GO:0006688,GO:0051453,GO:0046466,GO:0030641,GO:0033036,GO:0051641,GO:0006885,GO:0030148,GO:0050890,GO:0030004,GO:0046479,GO:0050877,GO:0006869,GO:0005975,GO:0046513,GO:0019377,GO:0001574,GO:0009311,GO:0046467,GO:0050905,GO:0048878,GO:0097503,GO:0046514,GO:0055067,GO:0009247,GO:0043524,GO:0031579,GO:0030003,GO:0030163,GO:0007611,GO:0042592,GO:0008152,GO:1904262,GO:0006873,GO:0008610,GO:0008344,GO:1901564,GO:0044237,GO:0051179,GO:0019725,GO:0003008,GO:0007628,GO:0090659,GO:0007626,GO:0044238,GO:0010506,GO:0055080,GO:0071704,GO:0043523,GO:0098771,GO:1901215,GO:0007601,GO:0050953,GO:0019915,GO:0030203,GO:0050801,GO:0055082,GO:0008203,GO:0042157,GO:0048549,GO:0007041,GO:0006022,GO:1903432,GO:1902652,GO:0034198,GO:0032007,GO:1905146,GO:0016125,GO:1990928,GO:1901137,GO:0007039,GO:0030534	0.05	0.275	Hofbauer cells	23	0.3	Neurodegeneration	0	0	0	0.1768231550571575	9.877551020408164	0.9741452991452992	0.0109922103348235	0.975678151664814	372.16326530612247	0.7959183673469388	494.0859170911717	3008.987846294581	-1.809964692698252e-06	0.20578231292517	242.0	0.5416666666666666	105	27.4	22.0	22.47597007404198	1096	0.2199999999999999	2005
381	62	0.3709677419354839	0.6290322580645161	6	1.8606884052292446e-06,4.542026839303073e-06,6.4808007694463665e-06,7.408537328265016e-06,1.540974146278843e-05,1.560722085037233e-05	0.029043318461130927,0.029043318461130927,0.029043318461130927,0.029043318461130927,0.040789471692448086,0.040789471692448086	GO:0050808,GO:0099560,GO:0050807,GO:0050803,GO:0050804,GO:0099177	0.05	0.2608695652173913	Bipolar cells	9	0.0869565217391304	Neurodegeneration	0	0	0	0.5936887652950325	7.451612903225806	0.9660743134087236	0.0062697538230438	0.9671806297721484	212.1935483870968	0.3387096774193548	359.0995744270142	2740.879445956494	4.157619359904482e-06	0.1221575885774722	231.0	0.3442622950819672	62	20.30434782608696	13.0	19.356546420476544	467	0.43	761
382	100	0.41	0.59	15	1.0013260487651803e-07,1.1040851922402784e-07,1.1040851922402784e-07,4.9992084604266015e-06,4.9992084604266015e-06,1.2303002181864392e-05,1.3962401146576781e-05,1.4238948513532904e-05,1.4799307678447722e-05,1.576294404505836e-05,2.0848122637435757e-05,2.1687902720233004e-05,3.470532664470344e-05,3.590130800057823e-05,4.7230795585006715e-05	0.0005771053299839935,0.0005771053299839935,0.0005771053299839935,0.015678517573589908,0.015678517573589908,0.024717872557056014,0.024717872557056014,0.024717872557056014,0.024717872557056014,0.024717872557056014,0.028340666879664477,0.028340666879664477,0.04021202933979052,0.04021202933979052,0.049375073704566015	GO:0042552,GO:0007272,GO:0008366,GO:0046520,GO:0046512,GO:0006670,GO:0034312,GO:0016241,GO:0016239,GO:0046519,GO:0046511,GO:0007422,GO:0006667,GO:0034311,GO:0010506	0.05	0.1463414634146341	Early spermatids	13	0.3902439024390244	Neurodegeneration	0	0	0	0.511268755670808	6.56	0.972417272841946	0.0068410932970478	0.9743604744217812	231.27	0.37	332.6628559298558	3681.391269288672	4.662339675040462e-06	0.0662626262626262	328.0	0.2424242424242424	84	18.682926829268293	11.0	19.86886889632905	766	0.27	1923
385	50	0.96	0.04	111	6.911208642849341e-40,3.614601686487479e-38,1.7312404545048814e-37,9.97431736950131e-37,3.193257348888365e-36,8.45491230633131e-36,1.3978592550864894e-33,5.163905313141053e-33,5.188543504257248e-29,9.288827813160911e-29,3.306903464315865e-20,5.758410845085839e-19,1.6354574146463226e-17,1.1222868241380937e-15,7.201827643764732e-15,2.3888449364031494e-14,3.132243729662373e-14,1.0445206049482302e-13,1.6314491348113004e-13,7.780568731193571e-13,4.010075789067467e-12,5.332980559312026e-12,5.869403263237873e-12,6.939795240933764e-12,8.090921720460272e-12,8.321251610704105e-12,8.727770306861955e-12,1.397505947871838e-11,1.26613811976999e-10,3.1124764801676734e-10,3.8874237252660685e-10,4.0689117777857556e-10,8.052530512762457e-10,1.1240753988899934e-09,1.7434126760432223e-09,1.8116825348133183e-09,7.817289002402203e-09,8.063215381979003e-09,8.630646185903882e-09,1.3587086361019657e-08,1.623882940164886e-08,2.2104042471160622e-08,2.9673810944509135e-08,3.264066602144836e-08,1.0199291289957828e-07,1.1932157976152433e-07,1.1932157976152433e-07,1.262705161444692e-07,1.3354924924211047e-07,2.0136651944890436e-07,2.1930887982988263e-07,3.0509870372162395e-07,4.5105057799119815e-07,4.521726864950487e-07,8.4336411389802e-07,1.486868917075248e-06,1.5089950787330463e-06,1.7253690358777985e-06,2.5782527315805556e-06,2.6923367096067336e-06,3.2438694341477025e-06,4.0023381911508845e-06,4.1245713418733236e-06,4.923465993889862e-06,6.899707256177254e-06,7.291651200704356e-06,8.263745116155595e-06,1.143603684649785e-05,1.150891118368354e-05,1.150891118368354e-05,1.2743570650549924e-05,1.3483977058788017e-05,1.5467839208116308e-05,2.8635366377287767e-05,2.9156872201948503e-05,3.266221405274826e-05,3.266221405274826e-05,3.266221405274826e-05,3.375187327195496e-05,3.6599790137170495e-05,4.0352579366487154e-05,4.111243771625434e-05,4.7884990214921104e-05,4.840933531596214e-05,5.012284817490787e-05,5.6544925326121234e-05,5.6729713675482594e-05,6.434835027569922e-05,7.533589609621764e-05,8.956578363564223e-05,9.496465812678779e-05,0.00012878768373824996,0.00014229510433603836,0.00014715395441393733,0.00016020606161947165,0.0001671440927179953,0.0001671440927179953,0.00017772806326379965,0.0001785629297447382,0.00019335958015847136,0.00019994245300590548,0.0002162989991813272,0.00025077604366729127,0.0002557255474002842,0.0002645581790998858,0.0002691760121861934,0.0002698467291227484,0.0002788208995077599,0.0002788208995077599,0.00031633824250054736,0.00031633824250054736	1.0837466272852051e-35,2.834028452290508e-34,9.049193855697014e-34,3.910181766778751e-33,1.0014693697583692e-32,2.209691331259688e-32,3.1314044255730344e-30,1.0121899901920607e-29,9.040172298917546e-26,1.4565810893817627e-25,4.7141412021760976e-17,7.524803371815921e-16,1.9727390553129988e-14,1.2570414063792462e-12,7.52879061879165e-12,2.3412173404836115e-11,2.889218466166804e-11,9.099515336773999e-11,1.3464607306829474e-10,6.10035491369232e-10,2.994380878493664e-09,3.801203097753267e-09,4.001657068297091e-09,4.534288715545098e-09,5.0186748656711955e-09,5.0186748656711955e-09,5.06889504377416e-09,7.82653241734939e-09,6.846314433142487e-08,1.6268914561836429e-07,1.9664094011579747e-07,1.993893924608076e-07,3.8264160900190334e-07,5.184301861762937e-07,7.810986906581077e-07,7.891387174557679e-07,3.3130515904505123e-06,3.3273494843371774e-06,3.470183662593815e-06,5.326477530678731e-06,6.2107581426159944e-06,8.25270214262547e-06,1.0821279753973203e-05,1.1632688270052993e-05,3.554113038173971e-05,3.981024877107368e-05,3.981024877107368e-05,4.125099924294628e-05,4.2738485252357844e-05,6.315256782956539e-05,6.743103028651743e-05,9.200486102036126e-05,0.00013130592401720107,0.00013130592401720107,0.00024045077581881548,0.00041513248823882277,0.00041513248823882277,0.00046647434226896136,0.0006852471370155033,0.0007036421990557198,0.0008338871573257397,0.00101226879315221,0.001026625447808184,0.0012063260976591707,0.0016645278382171615,0.001732430037549167,0.0019340863756184459,0.0025781605181620228,0.0025781605181620228,0.0025781605181620228,0.0028145342446658215,0.00293669783692854,0.003322618994828381,0.00606798892111148,0.006096118839983393,0.006566361263604429,0.006566361263604429,0.006566361263604429,0.006699533225031971,0.007174016364262132,0.007811960457356606,0.00786200165644615,0.009036985560590504,0.009036985560590504,0.009246780967420357,0.010225041840749915,0.010225041840749915,0.01146643728037772,0.013273507715559425,0.015605345035450064,0.016364184660287464,0.02195130074673367,0.023992790656918467,0.024548097437925014,0.02644411844478879,0.027020479566091587,0.027020479566091587,0.02828328587199232,0.02828328587199232,0.03032071576464989,0.031042550550352516,0.03325279025649404,0.03817882660919218,0.03855800296907555,0.039509874347288663,0.03954641644274596,0.03954641644274596,0.04011183968056131,0.04011183968056131,0.04468918901487462,0.04468918901487462	GO:0070588,GO:0098662,GO:0006816,GO:0098655,GO:0098660,GO:0030001,GO:0006812,GO:0034220,GO:0006811,GO:0055085,GO:0034765,GO:0034762,GO:0043269,GO:0051179,GO:0006810,GO:0051234,GO:0072507,GO:0055074,GO:0072503,GO:0006874,GO:0055080,GO:0030003,GO:0098771,GO:0055065,GO:0050801,GO:0006875,GO:0006873,GO:0032879,GO:0055082,GO:0051049,GO:1903169,GO:0006814,GO:1904062,GO:0019725,GO:0097553,GO:0070509,GO:0051924,GO:0048878,GO:0019226,GO:0086010,GO:0035637,GO:0035725,GO:0009581,GO:0009582,GO:0006828,GO:0099587,GO:0098659,GO:0001508,GO:0000041,GO:0051480,GO:0051899,GO:0010959,GO:0042391,GO:0044057,GO:0050951,GO:0098739,GO:0019228,GO:0042592,GO:1904064,GO:1904427,GO:0065008,GO:2001257,GO:0034767,GO:0098657,GO:0007204,GO:1903307,GO:0060402,GO:0051282,GO:0006851,GO:0045956,GO:0051928,GO:0050877,GO:0034764,GO:0003008,GO:0009628,GO:0051560,GO:0098703,GO:1903779,GO:0032412,GO:2001259,GO:0016048,GO:0022898,GO:0043270,GO:0050968,GO:0045921,GO:0032409,GO:0019219,GO:0051262,GO:1901019,GO:0050974,GO:0008016,GO:0017158,GO:0032414,GO:0007528,GO:0051252,GO:1901385,GO:1901021,GO:0051050,GO:0010035,GO:0090257,GO:0032411,GO:0050955,GO:0051209,GO:1903522,GO:0051283,GO:0043170,GO:0051259,GO:0006826,GO:0050982,GO:0099566,GO:0036444	0.05	0.1041666666666666	Early spermatids,Bipolar cells	11	0.1458333333333333	FDA approved drug targets	0	0	0	0.0640902118110847	11.28	0.9719416944430626	0.0115412334593572	0.9735837358122176	390.74	0.84	605.8772266593592	3542.010049867344	-2.69498278585435e-06	0.230204081632653	282.0	0.4897959183673469	95	25.58333333333333	19.0	21.42660240869144	1228	1.0	480
386	96	0.3125	0.6875	78	4.637157092043825e-24,1.2758736570098239e-22,9.965045311655808e-22,2.3275807642851134e-20,3.95918658482657e-20,3.95918658482657e-20,3.9884116910576055e-20,3.0734309543135133e-19,5.913149357088108e-19,1.780023485295595e-18,6.4371150039795974e-18,7.027381418372048e-18,1.2964516019772146e-17,1.8124491952180417e-17,1.980006349084852e-17,3.042050577855375e-17,7.893176042234914e-17,1.2521119179705078e-15,4.522323172344628e-15,5.543311685884003e-15,5.725955633711218e-15,6.281913517903746e-15,9.015591372871406e-15,1.2757268283219327e-14,1.388495083684381e-14,1.7100245485207297e-14,2.013116824916844e-14,2.2707828569746315e-14,1.327138469936411e-13,1.41638234993435e-13,3.0306826275027045e-12,4.060734371192231e-12,4.838798422307488e-12,5.869505282471136e-12,7.629201256453456e-12,8.189640125832957e-12,4.1974954880187136e-11,4.8012453314809165e-11,7.099086872664577e-11,1.4345770487022997e-10,1.5210755510718433e-10,1.1354761640535274e-09,1.1354761640535274e-09,7.0596904592194885e-09,1.2423928529020364e-08,1.3419315615374841e-08,1.3419315615374841e-08,1.3676047351907575e-08,1.3912839532417755e-08,2.5238548499893137e-08,2.732541344749629e-08,7.049314726680136e-08,1.5467294786426625e-07,1.8053979528739883e-07,3.7206620051809554e-07,4.791005266518483e-07,6.842697474856588e-07,7.071630418200064e-07,8.743581702186351e-07,9.64970551855091e-07,1.783864213696883e-06,2.3624618778902036e-06,2.5278630116347963e-06,2.8397078031037363e-06,9.035776281726048e-06,1.0690934091717432e-05,1.6839579446692755e-05,1.9044365803711045e-05,2.6370984042217974e-05,3.311703271449112e-05,4.117391591563491e-05,7.461960091783959e-05,7.957788735355972e-05,9.709749321342397e-05,0.0001281762486700054,0.00014651729180743773,0.00015855689564421035,0.00023453056041245073	7.271526036033921e-20,1.0003487407785524e-18,5.208729184402491e-18,8.934611961067759e-17,8.934611961067759e-17,8.934611961067759e-17,8.934611961067759e-17,6.024308849323775e-16,1.030267722983318e-15,2.7912548272920224e-15,9.17640003430946e-15,9.183030668457675e-15,1.5638198131234385e-14,2.030072559301008e-14,2.0698986373333042e-14,2.981399694459384e-14,7.280758442252098e-14,1.090798165871974e-12,3.732344719238742e-12,4.275652871058362e-12,4.275652871058362e-12,4.477576630647666e-12,6.146673405130283e-12,8.335280164548428e-12,8.70919656290191e-12,1.0313421132828293e-11,1.1691735159822604e-11,1.2717194992935427e-11,7.17615805071478e-11,7.403430543106846e-11,1.5330365897377389e-09,1.989886739833293e-09,2.2993090321273857e-09,2.707050362777349e-09,3.418100140069904e-09,3.567270744810739e-09,1.778943966151931e-08,1.9812717906040064e-08,2.8543790064167494e-08,5.6239006751751905e-08,5.81755749179453e-08,4.1407910996565966e-07,4.1407910996565966e-07,2.5159774111595637e-06,4.329324961412629e-06,4.4523925858743434e-06,4.4523925858743434e-06,4.4523925858743434e-06,4.4523925858743434e-06,7.915313580536484e-06,8.4017609464743e-06,2.1257750813282928e-05,4.57627640652747e-05,5.2426750553735207e-05,0.00010607945618771376,0.00013415670282906488,0.00018824620895302834,0.00019119006308240553,0.00023238661808810878,0.000252195053727328,0.00045857007762263645,0.0005975123339870367,0.0006291971410388134,0.0006957727821948388,0.00217984627498071,0.002540068749882137,0.003941215601546106,0.0043916867671763655,0.0059930927647249286,0.00741868842851336,0.009093636274268605,0.016251527249897816,0.01709398426837219,0.02057548366323921,0.02679909007192473,0.030230758589900406,0.032290008838920296,0.04714966304907231	GO:0006119,GO:0009060,GO:0045333,GO:0019646,GO:0042775,GO:0042773,GO:0015980,GO:0022904,GO:0042776,GO:0015986,GO:0006754,GO:0006091,GO:0022900,GO:0009206,GO:0009145,GO:0009201,GO:0009142,GO:0046034,GO:0009205,GO:0006120,GO:0009144,GO:0009199,GO:0009152,GO:0006164,GO:0009141,GO:0009260,GO:0072522,GO:0046390,GO:0009165,GO:1901293,GO:0009150,GO:0006163,GO:0009259,GO:0019693,GO:1902600,GO:0072521,GO:0009117,GO:0006753,GO:0090407,GO:0055086,GO:1901137,GO:0010257,GO:0032981,GO:0019637,GO:0033108,GO:0015990,GO:0015988,GO:1901135,GO:0034654,GO:0018130,GO:0019438,GO:1901362,GO:1901566,GO:0098662,GO:0098655,GO:0098660,GO:0044271,GO:0007005,GO:0006123,GO:0044281,GO:0006812,GO:0034220,GO:0006796,GO:0006793,GO:0007568,GO:0009628,GO:0006811,GO:0055085,GO:0044249,GO:1901576,GO:0009058,GO:0021549,GO:0006139,GO:0022037,GO:0046483,GO:0006725,GO:0006979,GO:0030902	0.05	0.0666666666666666	Cytotrophoblasts	3	0.0333333333333333	Primary mitochondrial disease,Leukodystrophy	0	0	0	0.6246954691586885	6.708333333333333	0.7179150240911082	0.0005049664793453	0.7180529868566496	17.072916666666668	0.0	343.9633881108456	3635.263053520532	4.929802794305276e-06	0.0706140350877193	322.0	0.3157894736842105	0	0.0	0.0	0.0	0	0.73	3895
387	39	0.1025641025641025	0.8974358974358975	1	2.573161010832304e-06	0.040349737810861354	GO:0032908	0.05	0.75	Hofbauer cells	9	0.75	Neurodegeneration	0	0	0	0.7903272491683944	2.358974358974359	0.982076758231054	0.003816588722249	0.9825009430426797	129.25641025641025	0.1282051282051282	44.13610114033678	513.1915483142207	3.93820286447408e-06	0.0620782726045884	46.0	0.2105263157894736	28	10.75	6.0	11.586630226256467	43	0.06	1115
393	77	0.0129870129870129	0.987012987012987	0				0.05	0.0		0	0.0	No Associated Disease	0	0	0	0.8712133825770189	2.051948051948052	0.3852140077821012	3.80062752583371e-05	0.385222341842911	1.2857142857142858	0.0	27.11003421791815	814.1488180349937	8.333551353144795e-06	0.0269993164730006	79.0	0.3026315789473684	0	0.0	0.0	-1.0	0	0.04	2252
396	44	0.1136363636363636	0.8863636363636364	2	2.4922237204472267e-06,4.9913388149464445e-06	0.03908056016033296,0.039134591978587596	GO:0007041,GO:0007034	0.05	0.2	Extravillous trophoblasts,Spermatocytes,Spermatogonia,Hofbauer cells	5	0.6	Neurodegeneration	0	0	0	0.6376953481897414	3.5	0.9347734011012284	0.0014812796323043	0.9349591587031288	50.15909090909091	0.2727272727272727	91.69935050779522	880.6802468481833	3.4119595392454104e-06	0.0813953488372093	77.0	0.3488372093023256	40	17.4	20.0	15.517731793016658	87	0.0	1525
402	46	0.0434782608695652	0.9565217391304348	0				0.05	0.0		3	0.5	Cancer-related genes,Mental retardation	0	0	0	0.8973771357550128	2.0434782608695654	0.9349030470914128	0.0008667402860884	0.9350166807959438	29.347826086956523	0.0	33.27256505819709	509.2471156860552	4.7835982668782365e-06	0.0454106280193236	47.0	0.4666666666666667	22	16.0	16.0	8.48528137423857	32	1.0	2256
407	6	0.8333333333333334	0.1666666666666666	28	4.714581154590532e-07,4.714581154590532e-07,4.714581154590532e-07,4.714581154590532e-07,7.071184825133536e-07,1.696589857645902e-06,2.120531310036894e-06,2.120531310036894e-06,3.674516498961829e-06,6.404359824224804e-06,7.204204770347156e-06,1.1907048758554746e-05,1.2988245485476797e-05,1.2988245485476797e-05,1.4116286224389223e-05,1.4116286224389223e-05,1.529115728169895e-05,2.637437438466172e-05,2.7970102344236067e-05,2.7970102344236067e-05,3.3037392382983475e-05,3.481981220963449e-05,3.481981220963449e-05,5.0757019854924524e-05,7.224554032154747e-05,7.75315914595137e-05,8.024419308901397e-05,8.86601387190592e-05	0.0018482336771283533,0.0018482336771283533,0.0018482336771283533,0.0018482336771283533,0.00221766498485838,0.0041565064340860665,0.0041565064340860665,0.0041565064340860665,0.006402232580024494,0.010042676640366916,0.010269921363983069,0.013834842767790463,0.013834842767790463,0.013834842767790463,0.013834842767790463,0.013834842767790463,0.01410474337260713,0.02192995874299829,0.02192995874299829,0.02192995874299829,0.023739542402577325,0.023739542402577325,0.023739542402577325,0.03316336784771131,0.04531529271128743,0.04660404414180845,0.04660404414180845,0.04965284411619883	GO:0072223,GO:2000591,GO:0035793,GO:1900238,GO:2000589,GO:0072239,GO:0072109,GO:0035791,GO:0072224,GO:0090280,GO:0035435,GO:0072012,GO:0006817,GO:0036120,GO:0061440,GO:0061437,GO:0036119,GO:0090279,GO:0072210,GO:0043552,GO:0048008,GO:0090218,GO:0014911,GO:0045840,GO:0048146,GO:0032835,GO:0043551,GO:0051785	0.05	0.2	Early spermatids,Late spermatids,Endothelial cells,Ito cells,Pancreatic endocrine cells,Sertoli cells,Basal glandular cells,Urothelial cells	4	0.4	Cancer-related genes,Proto-oncogene	0	0	0	0.0076224759363119	3.6666666666666665	0.9954489035995036	0.0236578171091445	0.9958538241754938	802.0	0.8333333333333334	36.03949115475519	155.24516394937265	-1.6559679185676062e-07	0.7333333333333333	11.0	1.0	57	19.0	9.0	21.760055146988943	95	1.0	609
