clusterID	estimated_snowballing_pvalue	rank
paris.cesna.2021:0	0.23315149545669556	2365
paris.cesna.2021:4	0.35566163063049316	2935
paris.cesna.2021:5	0.21792079508304596	2293
paris.cesna.2021:43	0.005309348925948143	232
paris.cesna.2021:44	0.004357215948402882	79
paris.cesna.2021:49	0.0051714046858251095	210
paris.cesna.2021:50	0.0041994075290858746	47
paris.cesna.2021:70	0.004268550779670477	59
paris.cesna.2021:71	0.00451766699552536	106
paris.cesna.2021:100	0.022290818393230438	902
paris.cesna.2021:107	0.36379045248031616	2967
paris.cesna.2021:112	0.17723461985588074	2070
paris.cesna.2021:113	0.004434163216501474	93
paris.cesna.2021:178	0.22356048226356506	2319
paris.cesna.2021:205	0.19173064827919006	2157
paris.cesna.2021:207	0.19458794593811035	2171
paris.cesna.2021:209	0.005488446913659573	249
paris.cesna.2021:210	0.0049192956648766994	178
paris.cesna.2021:233	0.004799759015440941	165
paris.cesna.2021:234	0.0431189239025116	1213
paris.cesna.2021:263	0.1391553282737732	1850
paris.cesna.2021:264	0.13687649369239807	1839
paris.cesna.2021:292	0.2228417843580246	2314
paris.cesna.2021:299	0.24056661128997803	2397
paris.cesna.2021:314	0.13459642231464386	1827
paris.cesna.2021:321	0.020549122244119644	879
paris.cesna.2021:326	0.046231161803007126	1238
paris.cesna.2021:331	0.016581937670707703	774
paris.cesna.2021:332	0.015335891395807266	727
paris.cesna.2021:338	0.20101548731327057	2197
paris.cesna.2021:341	0.04272887855768204	1207
paris.cesna.2021:481	0.12644140422344208	1775
paris.cesna.2021:482	0.1018623560667038	1620
paris.cesna.2021:512	0.01667512208223343	776
paris.cesna.2021:513	0.13272832334041595	1816
paris.cesna.2021:521	0.06770332902669907	1401
paris.cesna.2021:535	0.011585927568376064	580
paris.cesna.2021:536	0.00449350755661726	103
paris.cesna.2021:544	0.12193858623504639	1740
paris.cesna.2021:550	0.3774019181728363	3022
paris.cesna.2021:601	0.0044572725892066956	98
paris.cesna.2021:602	0.004213312640786171	50
paris.cesna.2021:613	0.005882443394511938	283
