clusterID,estimated_snowballing_pvalue,max_norm_cell_type_specificity,max_norm_disease_specificity,max_plof,mean_plof,median_plof,num_cell_type_string,num_disease_string,num_of_diseases,num_sig_go_enrichment_terms,std_plof,sum_plof,avg_embeddedness,avg_internal_degree,cluster_size,conductance,cut_ratio,edges_inside,expansion,gene_ratio,hub_dominance,internal_edge_density,newman_girvan_modularity,normalized_cut,significance,surprise,triangle_participation_ratio
paris.cesna.2021:207,0.21436262130737305,0.6666666666666666,0.3333333333333333,41,22.666666666666668,16,1,2,3,0,16.072751268321593,68,0.0081373742652017,2.5,4,0.9987415051598288,0.0555820142877153,5,1984,0.75,1,0.8333333333333334,-4.123756783851841e-7,0.9993824512790036,72.02060779400473,17.319844054247536,1
paris.cesna.2021:209,0.007100303657352924,0.2,0.8,42,11.8,4,2,2,6,0,17.035257556021865,59,0.0743741158857734,6,16,0.9879939969984992,0.0138371213182748,48,493.75,0.3125,1,0.4,-3.367656196902992e-7,0.9886320418868147,636.5887805837422,131.64602094698725,1
paris.cesna.2021:210,0.006469142157584429,0.1764705882352941,0.4705882352941176,105,26.94117647058824,14,2,1,14,64,28.71077887361142,458,0.0535379189267769,12,30,0.9855351976856316,0.0229218649247245,180,817.6,0.5666666666666667,1,0.4137931034482758,-3.399005672647829e-6,0.9875135911894546,2395.042086146289,499.6310458587307,1
paris.cesna.2021:233,0.006302115507423878,0.1,0.3,30,13.6,13,14,1,5,77,9.720539536923292,136,0.1996271826890792,13.741935483870968,31,0.9648833566894732,0.0105859774913449,213,377.5806451612903,0.3225806451612903,1,0.4580645161290322,-9.611454780016545e-7,0.9658284478231458,2862.5653724532926,612.397734752846,1
paris.cesna.2021:234,0.050908785313367844,0,0,25,14,14,0,0,0,0,15.556349186104043,28,0.037696081838122,2.857142857142857,7,0.9904306220095692,0.0082851699460463,10,295.7142857142857,0.2857142857142857,1,0.4761904761904761,-2.852912775306948e-8,0.9905978836536462,134.91568074231677,29.130920591269795,0.8571428571428571
paris.cesna.2021:263,0.14495861530303955,0.3333333333333333,0,32,24,20,3,0,1,0,6.928203230275509,72,0.2123011735745187,2.4615384615384617,13,0.9804758999389872,0.0034639742368263,16,123.6153846153846,0.2307692307692307,1,0.2051282051282051,5.481677756518706e-7,0.9806057549046469,199.53720210584825,33.56566215732303,0.3846153846153846
paris.cesna.2021:264,0.14350734651088715,0.1666666666666666,0.3333333333333333,22,10.5,10.5,4,1,6,48,6.892024376045111,63,0.0205075479176883,3.2,10,0.9975825338067538,0.0370001961388663,16,1320.5,0.6,0.8888888888888888,0.3555555555555555,-1.1443926485336685e-6,0.9986485756864976,209.8299150770536,42.04598698181372,0.6
paris.cesna.2021:292,0.22395779192447662,0.1666666666666666,0.1666666666666666,54,21.166666666666668,19,5,8,9,0,17.656915547928143,127,0.0042057636314429,3.4285714285714284,7,0.996151996151996,0.0248675173308144,12,887.5714285714286,0.8571428571428571,0.8333333333333334,0.5714285714285714,-2.540665028312065e-7,0.9966538556492692,164.99647204812229,37.10418493814437,0.8571428571428571
paris.cesna.2021:299,0.24761301279067993,0.1142857142857142,0.2857142857142857,43,11.085714285714284,8,2,1,19,52,10.804060861196447,388,0.0196597184477471,23.77777777777778,36,0.9886757507606826,0.058210034053345,428,2075.9444444444443,0.9722222222222222,1,0.6793650793650794,-3.675282442039185e-5,0.9946796159085404,6001.14361803967,1396.293337267144,0.9722222222222222
paris.cesna.2021:314,0.14296498894691467,0.5,0.5,28,16,13,1,1,5,0,8.16496580927726,64,0.0214673081447099,2.8,5,0.9963465553235908,0.0213929511962794,7,763.6,0.8,1,0.7,-9.590625270728437e-8,0.9966550164162088,98.50492256275793,23.04284444123469,1
paris.cesna.2021:321,0.022359594702720642,0.1666666666666666,0.4166666666666667,123,20.95833333333333,10.5,1,1,22,12,27.57516079288792,503,0.0372942544501895,8.74074074074074,27,0.9937901273550152,0.0392132432948759,118,1398.8148148148148,0.8888888888888888,1,0.3361823361823361,-9.029021648119274e-6,0.9968331602294068,1539.3826597368163,303.6644831695455,0.9629629629629628
paris.cesna.2021:326,0.04854269698262215,0.1666666666666666,0.6111111111111112,101,14.833333333333334,8.5,1,1,14,1,23.914676763566813,267,0.0693802659624383,4.636363636363637,22,0.9935804644722764,0.0201135439944756,51,717.5909090909091,0.8181818181818182,0.9047619047619048,0.2207792207792207,-1.4064316648058954e-6,0.9948546932418229,640.2414496704322,110.56947775444182,0.6363636363636364
paris.cesna.2021:331,0.02039763703942299,0.5,0.5,16,10.75,10.5,1,1,13,0,4.99165971062398,43,0.0244233740990038,3.7777777777777777,9,0.9947619781235556,0.0201021138818841,17,717.4444444444445,0.4444444444444444,1,0.4722222222222222,-1.9436532711300698e-7,0.995283537036248,229.1638058721139,49.38322686650029,0.8888888888888888
paris.cesna.2021:332,0.017705438658595085,0.5,0.5,3,1.5,1.5,3,2,3,0,2.1213203435596424,3,0.2119484158132514,3.7142857142857135,7,0.988330341113106,0.0088134996237652,13,314.57142857142856,0.2857142857142857,1,0.6190476190476191,2.908434620929469e-7,0.988508266905607,180.32723965660205,41.2197647701601,1
paris.cesna.2021:338,0.21103832125663757,0.2,0,7,6.4,7,4,0,0,0,0.8944271909999159,32,0.0102732097386326,3.333333333333333,6,0.995900799344128,0.0226888558914446,10,809.8333333333334,0.8333333333333334,1,0.6666666666666666,-1.5547392326296457e-7,0.9962933313321728,139.90023853977655,32.437385347429355,1
paris.cesna.2021:341,0.05201303958892822,0.3863636363636363,0.5,97,23.977272727272727,17,1,1,21,361,21.808349837196864,1055,0.0623953675902163,37.57446808510638,47,0.9632343756505808,0.0276120703442974,883,984.4255319148936,0.9361702127659576,0.9782608695652174,0.816836262719704,-1.4988496035029572e-5,0.966960175826322,12681.52821959666,3041.2977843746644,1
paris.cesna.2021:481,0.11962824314832687,0.2727272727272727,0.2727272727272727,145,43.81818181818182,28,1,1,5,70,41.82539463488224,482,0.0217425383717504,6.307692307692308,13,0.990292411507044,0.018031203790325,41,643.4615384615385,0.8461538461538461,0.9166666666666666,0.5256410256410257,-4.6601608808718043e-07,0.9909679860664486,558.773733718005,123.40904958239383,1
paris.cesna.2021:482,0.11332565546035767,0.15625,0.1875,80,17.65625,6.5,1,1,18,86,22.8481796762046,565,0.0231639880895192,4,34,0.9950611903983732,0.0225967128755329,68,805.9117647058823,0.9411764705882352,1,0.1212121212121212,-4.87173732961587e-6,0.9972707640347672,809.0503343717728,109.10832719020615,0.6176470588235294
paris.cesna.2021:512,0.019143957644701004,0.16,0.56,240,28.92,16,2,1,19,77,48.67915364917513,723,0.0466867590566353,22,29,0.970516197606174,0.0203020020687721,319,724.1724137931035,0.8620689655172413,1,0.7857142857142857,-2.6541504970418005e-6,0.9722106283501396,4556.440200824271,1086.4690904227762,1
paris.cesna.2021:513,0.13309462368488312,0.0909090909090909,0.3636363636363636,77,28.454545454545453,14,8,1,13,0,29.38490645336016,313,0.0166361636198256,9.666666666666666,12,0.9889069522807687,0.0241474486507691,58,861.75,0.9166666666666666,1,0.8787878787878788,-7.141840348829247e-7,0.9897419816876768,842.4221233551841,203.9558492733009,1
paris.cesna.2021:521,0.0636691227555275,0.5,0.5,39,13,6.5,1,2,10,99,14.342743312012724,104,0.0149218369412805,7.111111111111111,9,0.9954487270658512,0.0435789670309143,32,1555.3333333333333,0.8888888888888888,1,0.8888888888888888,-1.2914872075611889e-6,0.9965787185477272,465.67548407591215,112.88899986924774,1
paris.cesna.2021:535,0.01373740378767252,0.0833333333333333,0.1666666666666666,48,11.25,7,11,1,7,182,12.366560483085756,135,0.0447052429905803,9.1,20,0.9819426530409764,0.0138695030690322,91,494.85,0.6,1,0.4789473684210526,-5.826684330317544e-7,0.9827418626334294,1228.4468785247282,265.6065915054582,1
paris.cesna.2021:536,0.005941981915384531,0.375,0.375,12,6.375,7.5,2,2,7,197,4.138236339311712,51,0.0405544243847333,11.157894736842104,19,0.982753010087862,0.017819211706396,106,635.7894736842105,0.4210526315789473,1,0.6198830409356725,-1.703364160139907e-8,0.9837283332807408,1470.5835335168222,336.2411051758916,1
paris.cesna.2021:544,0.12780864536762238,0.2307692307692307,0.3846153846153846,99,28.65384615384616,22.5,1,1,10,241,24.82892234099951,745,0.0496962231397017,18.857142857142858,28,0.983851235625153,0.0322070349263307,264,1148.857142857143,0.9285714285714286,1,0.6984126984126984,-6.98208563259209e-6,0.9864442978455874,3714.0130826794816,868.458754120804,1
paris.cesna.2021:550,0.3972330093383789,0.125,0.0625,161,24.3125,13,3,6,7,10,38.69490707229226,389,0.0210684299255935,5.882352941176471,17,0.9886608459008958,0.0143736997068879,50,512.8823529411765,0.9411764705882352,0.9375,0.3676470588235294,-5.079659560297259e-7,0.9893649911187532,657.7937283292379,133.0210270395673,0.9411764705882352
paris.cesna.2021:601,0.006168498191982508,0.25,0.875,24,13.375,15,2,1,2,0,7.670677004951109,107,0.030508888629756,10.933333333333334,15,0.9835654875238,0.0183368830101259,82,654.3333333333334,0.5333333333333333,1,0.780952380952381,-6.503841768723239e-7,0.9843580794901072,1170.2747013831672,278.78662079632875,1
paris.cesna.2021:602,0.005899080075323582,0.1,0.7,39,17.7,13.5,15,1,3,0,13.216572088774676,177,0.0443035432116184,14.1,20,0.9771530422101596,0.0169020992740827,141,603.05,0.5,1,0.7421052631578947,-1.8687162571491216e-7,0.9781268383656632,1998.7558684952648,472.2751615349599,1
paris.cesna.2021:613,0.006732382345944643,0.1818181818181818,0.5454545454545454,59,16.181818181818183,8,1,1,5,29,16.708190696889844,178,0.2465817581019121,6.102564102564102,39,0.985897132021806,0.0119634151602743,119,426.61538461538464,0.282051282051282,1,0.1605937921727395,-1.2135653627347543e-6,0.9872399707399188,1451.9067695199208,222.08143122983725,1
paris.cesna.2021:617,0.1665879487991333,0,0.6666666666666666,44,32.333333333333336,37,0,1,2,0,14.571661996262929,97,0.0133080679415265,2,4,0.9957716701902748,0.0131951253676985,4,471,0.75,1,0.6666666666666666,-2.33796597076678e-8,0.99592390466757,55.96009541591063,12.974952255295062,0.75
