clusterID	estimated_snowballing_pvalue	rank
paris.cesna.2022:4	0.869314968585968	794
paris.cesna.2022:5	0.33229899406433105	85
paris.cesna.2022:26	0.821251630783081	654
paris.cesna.2022:27	0.802521288394928	601
paris.cesna.2022:40	0.983576238155365	1886
paris.cesna.2022:41	0.9148695468902588	1015
paris.cesna.2022:70	0.9739382266998291	1642
paris.cesna.2022:108	0.625413179397583	329
paris.cesna.2022:109	0.8663062453269958	788
paris.cesna.2022:122	0.9293972849845886	1097
paris.cesna.2022:133	0.9937293529510498	2484
paris.cesna.2022:160	0.8746678829193115	810
paris.cesna.2022:161	0.9965277314186096	2718
paris.cesna.2022:186	0.8144379258155823	635
paris.cesna.2022:187	0.8801892995834351	838
paris.cesna.2022:190	0.680879533290863	410
paris.cesna.2022:191	0.7008036971092224	439
paris.cesna.2022:192	0.9662573933601379	1507
paris.cesna.2022:193	0.8897586464881897	883
paris.cesna.2022:202	0.8823985457420349	854
paris.cesna.2022:203	0.7341719269752502	487
paris.cesna.2022:214	0.9950177073478699	2589
paris.cesna.2022:224	0.5696808099746704	270
paris.cesna.2022:225	0.7944863438606262	588
paris.cesna.2022:232	0.9938912391662598	2493
paris.cesna.2022:233	0.9938416481018066	2489
paris.cesna.2022:235	0.5972123146057129	305
paris.cesna.2022:236	0.7663102149963379	537
paris.cesna.2022:259	0.9971862435340881	2759
paris.cesna.2022:272	0.9828474521636963	1861
paris.cesna.2022:288	0.9743828177452087	1655
paris.cesna.2022:289	0.9883517622947693	2101
paris.cesna.2022:326	0.9748560190200806	1668
paris.cesna.2022:328	0.9967897534370422	2744
paris.cesna.2022:331	0.9545350670814514	1351
paris.cesna.2022:334	0.973724365234375	1638
paris.cesna.2022:336	0.6211663484573364	325
paris.cesna.2022:337	0.9539315700531006	1342
paris.cesna.2022:350	0.9875818490982056	2052
paris.cesna.2022:358	0.9902098178863525	2204
paris.cesna.2022:359	0.9199411869049072	1045
paris.cesna.2022:366	0.9932128190994263	2435
paris.cesna.2022:376	0.818290114402771	645
paris.cesna.2022:377	0.9526451230049133	1329
paris.cesna.2022:392	0.5938335657119751	302
paris.cesna.2022:393	0.721452534198761	467
paris.cesna.2022:402	0.9740861654281616	1646
paris.cesna.2022:403	0.9081671237945557	976
paris.cesna.2022:416	0.9916602969169617	2310
paris.cesna.2022:420	0.839057445526123	706
paris.cesna.2022:421	0.9463925957679749	1256
paris.cesna.2022:422	0.9889467358589172	2133
paris.cesna.2022:444	0.9940138459205627	2504
paris.cesna.2022:445	0.3460831642150879	92
paris.cesna.2022:446	0.7948241233825684	590
paris.cesna.2022:448	0.9556421637535095	1370
paris.cesna.2022:453	0.6668967008590698	386
paris.cesna.2022:454	0.1702612042427063	15
paris.cesna.2022:461	0.9858331680297852	1985
paris.cesna.2022:479	0.8198327422142029	650
paris.cesna.2022:480	0.9162818789482117	1028
paris.cesna.2022:489	0.9857945442199707	1984
paris.cesna.2022:537	0.9271448254585266	1086
paris.cesna.2022:538	0.9427264332771301	1224
paris.cesna.2022:549	0.9644062519073486	1480
paris.cesna.2022:550	0.9516088366508484	1309
paris.cesna.2022:567	0.8599372506141663	769
paris.cesna.2022:568	0.9498036503791809	1287
paris.cesna.2022:581	0.9767476916313171	1704
paris.cesna.2022:582	0.6983567476272583	436
paris.cesna.2022:595	0.993689775466919	2480
paris.cesna.2022:610	0.9396887421607971	1180
paris.cesna.2022:625	0.994485080242157	2541
paris.cesna.2022:634	0.9947920441627502	2569
paris.cesna.2022:645	0.9019007682800293	937
paris.cesna.2022:646	0.9888807535171509	2131
paris.cesna.2022:659	0.9552068114280701	1362
paris.cesna.2022:671	0.9898360371589661	2180
paris.cesna.2022:673	0.9864361882209778	2015
paris.cesna.2022:674	0.9778854250907898	1734
paris.cesna.2022:675	0.8165265321731567	642
paris.cesna.2022:677	0.9312360882759094	1110
paris.cesna.2022:678	0.9880915880203247	2085
paris.cesna.2022:697	0.9941830039024353	2517
paris.cesna.2022:698	0.9953464865684509	2619
paris.cesna.2022:700	0.966234028339386	1504
paris.cesna.2022:757	0.9959477782249451	2667
paris.cesna.2022:758	0.9878608584403992	2072
paris.cesna.2022:786	0.9749691486358643	1672
paris.cesna.2022:787	0.995879054069519	2658
paris.cesna.2022:816	0.6663045883178711	385
paris.cesna.2022:817	0.9912639856338501	2282
paris.cesna.2022:842	0.8815543055534363	851
paris.cesna.2022:855	0.9939019680023193	2494
paris.cesna.2022:873	0.94167560338974	1209
paris.cesna.2022:883	0.9956117868423462	2639
paris.cesna.2022:888	0.9512478709220886	1306
paris.cesna.2022:889	0.9866105914115906	2025
paris.cesna.2022:890	0.9775044322013855	1729
paris.cesna.2022:908	0.8910247087478638	888
paris.cesna.2022:909	0.898413360118866	920
paris.cesna.2022:932	0.5888012647628784	297
paris.cesna.2022:933	0.7382412552833557	493
paris.cesna.2022:940	0.9209197163581848	1051
paris.cesna.2022:956	0.9812625050544739	1821
paris.cesna.2022:957	0.9953305721282959	2618
paris.cesna.2022:975	0.9534022808074951	1336
paris.cesna.2022:996	0.29488494992256165	61
paris.cesna.2022:1002	0.9945078492164612	2547
paris.cesna.2022:1088	0.9852531552314758	1955
paris.cesna.2022:1090	0.6820714473724365	411
paris.cesna.2022:1091	0.6171555519104004	320
paris.cesna.2022:1096	0.992867112159729	2407
paris.cesna.2022:1115	0.9885419607162476	2113
paris.cesna.2022:1127	0.515399694442749	225
paris.cesna.2022:1128	0.9721545577049255	1606
paris.cesna.2022:1139	0.9077640175819397	972
paris.cesna.2022:1140	0.9912352561950684	2276
paris.cesna.2022:1191	0.9922005534172058	2348
paris.cesna.2022:1209	0.9934034943580627	2452
paris.cesna.2022:1216	0.75168776512146	518
paris.cesna.2022:1217	0.6023633480072021	308
paris.cesna.2022:1248	0.9878943562507629	2073
paris.cesna.2022:1251	0.6566052436828613	370
paris.cesna.2022:1273	0.995712161064148	2646
paris.cesna.2022:1287	0.9835386276245117	1884
paris.cesna.2022:1350	0.9477818012237549	1275
paris.cesna.2022:1367	0.9925805330276489	2377
paris.cesna.2022:1377	0.7179626822471619	461
paris.cesna.2022:1393	0.9855329394340515	1972
paris.cesna.2022:1447	0.993421733379364	2455
paris.cesna.2022:1455	0.9961242079734802	2678
paris.cesna.2022:1456	0.9961005449295044	2674
paris.cesna.2022:1459	0.9337942600250244	1132
paris.cesna.2022:1460	0.8381842374801636	699
paris.cesna.2022:1461	0.9039129018783569	951
paris.cesna.2022:1485	0.43539124727249146	160
paris.cesna.2022:1486	0.9594578146934509	1413
paris.cesna.2022:1535	0.9587247967720032	1404
paris.cesna.2022:1536	0.9934677481651306	2458
paris.cesna.2022:1537	0.9414232969284058	1203
paris.cesna.2022:1538	0.9822231531143188	1851
paris.cesna.2022:1557	0.9095659255981445	987
paris.cesna.2022:1571	0.9879806637763977	2076
paris.cesna.2022:1572	0.977165699005127	1721
paris.cesna.2022:1575	0.9853492379188538	1963
paris.cesna.2022:1576	0.9704822897911072	1579
paris.cesna.2022:1597	0.6579066514968872	372
paris.cesna.2022:1598	0.9262307286262512	1082
paris.cesna.2022:1603	0.7692984342575073	541
paris.cesna.2022:1625	0.6510679125785828	362
paris.cesna.2022:1626	0.8556481003761292	751
paris.cesna.2022:1633	0.9920572638511658	2334
paris.cesna.2022:1655	0.9372808337211609	1166
paris.cesna.2022:1656	0.9784124493598938	1751
paris.cesna.2022:1657	0.8813208341598511	849
paris.cesna.2022:1677	0.8127514719963074	630
paris.cesna.2022:1678	0.966116189956665	1502
paris.cesna.2022:1679	0.9498844146728516	1288
paris.cesna.2022:1717	0.9408599734306335	1193
paris.cesna.2022:1718	0.5181524753570557	230
paris.cesna.2022:1719	0.9947713017463684	2566
paris.cesna.2022:1741	0.9629180431365967	1457
paris.cesna.2022:1775	0.7874879240989685	573
paris.cesna.2022:1776	0.5841406583786011	291
paris.cesna.2022:1793	0.9460790753364563	1252
paris.cesna.2022:1805	0.9634572863578796	1463
paris.cesna.2022:1808	0.9830018877983093	1865
paris.cesna.2022:1838	0.9877384901046753	2064
paris.cesna.2022:1862	0.9890332221984863	2138
paris.cesna.2022:1871	0.9688272476196289	1554
paris.cesna.2022:1890	0.3642023801803589	102
paris.cesna.2022:1891	0.5767146944999695	280
paris.cesna.2022:1918	0.9944674968719482	2538
paris.cesna.2022:1924	0.9407594203948975	1190
paris.cesna.2022:1925	0.9336053133010864	1129
paris.cesna.2022:1957	0.547668993473053	256
paris.cesna.2022:1958	0.8284364938735962	668
paris.cesna.2022:1965	0.9943963289260864	2534
paris.cesna.2022:1966	0.9909330606460571	2243
paris.cesna.2022:1967	0.6353411674499512	342
paris.cesna.2022:1968	0.9639546275138855	1474
paris.cesna.2022:2001	0.8963142037391663	909
paris.cesna.2022:2002	0.9910112619400024	2257
paris.cesna.2022:2034	0.9470140933990479	1264
paris.cesna.2022:2035	0.9275623559951782	1088
paris.cesna.2022:2060	0.9909520149230957	2247
paris.cesna.2022:2061	0.9906876683235168	2234
paris.cesna.2022:2062	0.9044331312179565	954
paris.cesna.2022:2063	0.9234832525253296	1063
paris.cesna.2022:2064	0.9534807205200195	1338
paris.cesna.2022:2065	0.8372518420219421	696
paris.cesna.2022:2117	0.7440405488014221	504
paris.cesna.2022:2121	0.9808962345123291	1807
paris.cesna.2022:2164	0.9563266038894653	1377
paris.cesna.2022:2173	0.9941233992576599	2514
paris.cesna.2022:2188	0.9832891821861267	1873
paris.cesna.2022:2215	0.8752569556236267	816
paris.cesna.2022:2216	0.8996878862380981	926
paris.cesna.2022:2219	0.9713703989982605	1592
paris.cesna.2022:2235	0.9743624925613403	1653
paris.cesna.2022:2276	0.9093915820121765	985
paris.cesna.2022:2277	0.801110029220581	598
paris.cesna.2022:2310	0.797608494758606	594
paris.cesna.2022:2311	0.9155430197715759	1022
paris.cesna.2022:2317	0.9806150794029236	1802
paris.cesna.2022:2336	0.6951936483383179	431
paris.cesna.2022:2337	0.7130743265151978	458
paris.cesna.2022:2338	0.980038046836853	1792
paris.cesna.2022:2339	0.9770907163619995	1716
paris.cesna.2022:2355	0.9936708211898804	2478
paris.cesna.2022:2363	0.9768685698509216	1709
paris.cesna.2022:2372	0.9882577061653137	2093
paris.cesna.2022:2391	0.678855836391449	406
paris.cesna.2022:2397	0.5797828435897827	283
paris.cesna.2022:2402	0.9816272854804993	1834
paris.cesna.2022:2411	0.9448750019073486	1239
paris.cesna.2022:2412	0.9831259846687317	1867
paris.cesna.2022:2414	0.9944952130317688	2544
paris.cesna.2022:2447	0.9080104231834412	975
paris.cesna.2022:2448	0.9891183376312256	2141
paris.cesna.2022:2492	0.8918737769126892	894
paris.cesna.2022:2493	0.9953783750534058	2623
paris.cesna.2022:2500	0.9519447088241577	1315
paris.cesna.2022:2501	0.8888418674468994	877
paris.cesna.2022:2507	0.9955629110336304	2638
paris.cesna.2022:2509	0.9925273656845093	2372
paris.cesna.2022:2644	0.9455714821815491	1246
paris.cesna.2022:2658	0.9027257561683655	944
paris.cesna.2022:2671	0.39913317561149597	132
paris.cesna.2022:2687	0.976202666759491	1696
paris.cesna.2022:2688	0.9839815497398376	1904
paris.cesna.2022:2723	0.9965200424194336	2714
paris.cesna.2022:2736	0.8809608817100525	844
paris.cesna.2022:2747	0.6767994165420532	398
paris.cesna.2022:2748	0.6595777869224548	374
paris.cesna.2022:2749	0.9831324219703674	1868
paris.cesna.2022:2806	0.9731998443603516	1623
paris.cesna.2022:2814	0.9858347773551941	1986
paris.cesna.2022:2815	0.96685791015625	1513
paris.cesna.2022:2820	0.9176859855651855	1033
paris.cesna.2022:2821	0.9614927768707275	1445
paris.cesna.2022:2840	0.9923253059387207	2357
paris.cesna.2022:2843	0.9888039231300354	2124
paris.cesna.2022:2864	0.9958833456039429	2659
paris.cesna.2022:2911	0.9191669225692749	1039
paris.cesna.2022:2912	0.9916049242019653	2307
paris.cesna.2022:2925	0.7335023283958435	486
paris.cesna.2022:2945	0.6685007810592651	387
paris.cesna.2022:2965	0.51491379737854	224
paris.cesna.2022:2966	0.9962586164474487	2686
paris.cesna.2022:3083	0.9629265666007996	1458
paris.cesna.2022:3138	0.9931076169013977	2426
paris.cesna.2022:3139	0.8916350603103638	892
paris.cesna.2022:3140	0.8439987301826477	719
paris.cesna.2022:3171	0.9940146803855896	2505
paris.cesna.2022:3181	0.8400282859802246	708
paris.cesna.2022:3182	0.9564804434776306	1380
paris.cesna.2022:3241	0.8538827896118164	746
paris.cesna.2022:3242	0.9642922878265381	1476
paris.cesna.2022:3283	0.9329701662063599	1124
paris.cesna.2022:3293	0.9820724129676819	1847
paris.cesna.2022:3302	0.9952392578125	2606
paris.cesna.2022:3310	0.9734331369400024	1630
paris.cesna.2022:3316	0.993841290473938	2488
paris.cesna.2022:3336	0.9692719578742981	1563
paris.cesna.2022:3337	0.9913045167922974	2286
paris.cesna.2022:3346	0.9882686138153076	2094
paris.cesna.2022:3350	0.9918831586837769	2325
paris.cesna.2022:3355	0.9414722323417664	1206
paris.cesna.2022:3544	0.6477200388908386	359
paris.cesna.2022:3545	0.9546241760253906	1353
paris.cesna.2022:3550	0.9903491735458374	2209
paris.cesna.2022:3557	0.9926137924194336	2382
paris.cesna.2022:3565	0.9954879879951477	2635
paris.cesna.2022:3566	0.997044026851654	2755
paris.cesna.2022:3591	0.9857094287872314	1981
paris.cesna.2022:3593	0.9782625436782837	1744
paris.cesna.2022:3611	0.890039324760437	885
paris.cesna.2022:3612	0.9839876890182495	1905
paris.cesna.2022:3632	0.9886912107467651	2119
paris.cesna.2022:3634	0.42729195952415466	153
paris.cesna.2022:3664	0.9954620003700256	2632
paris.cesna.2022:3666	0.8587740659713745	763
paris.cesna.2022:3709	0.9863889813423157	2011
paris.cesna.2022:3729	0.969688355922699	1572
paris.cesna.2022:3730	0.6912966966629028	427
paris.cesna.2022:3741	0.5471848249435425	255
paris.cesna.2022:3742	0.952112078666687	1321
paris.cesna.2022:3749	0.92546844482421875	1078
paris.cesna.2022:3750	0.8048030138015747	605
paris.cesna.2022:3761	0.8532894849777222	745
paris.cesna.2022:3762	0.9729893207550049	1617
paris.cesna.2022:3763	0.9836810827255249	1892
paris.cesna.2022:3773	0.9924875497817993	2368
paris.cesna.2022:3781	0.9865508079528809	2022
paris.cesna.2022:3784	0.9913637638092041	2291
paris.cesna.2022:3808	0.9924114942550659	2364
paris.cesna.2022:3832	0.9924235343933105	2365
paris.cesna.2022:3841	0.9505534768104553	1297
paris.cesna.2022:3842	0.9440252184867859	1235
paris.cesna.2022:3843	0.9325891733169556	1121
paris.cesna.2022:3844	0.49855905771255493	207
paris.cesna.2022:3851	0.334300696849823	87
paris.cesna.2022:3852	0.9554166793823242	1366
paris.cesna.2022:3861	0.9471791386604309	1268
paris.cesna.2022:3862	0.9256641268730164	1079
paris.cesna.2022:3863	0.8973747491836548	914
paris.cesna.2022:3864	0.9517701268196106	1312
paris.cesna.2022:3902	0.9936889410018921	2479
paris.cesna.2022:3923	0.9724931120872498	1610
paris.cesna.2022:3924	0.8859196901321411	862
paris.cesna.2022:3984	0.316827654838562	76
paris.cesna.2022:3985	0.45963332056999207	180
paris.cesna.2022:3986	0.9094481468200684	986
